Datum;Bensin 95;E85;Diesel
2015-01-01;12.59;9.5;12.85
2015-01-02;12.59;9.49;12.95
2015-01-03;12.59;9.49;12.95
2015-01-04;12.59;9.49;12.95
2015-01-05;12.49;9.49;12.8
2015-01-06;12.49;9.49;12.8
2015-01-07;12.39;9.49;12.7
2015-01-08;12.29;9.49;12.55
2015-01-09;12.29;9.49;12.55
2015-01-10;12.29;9.49;12.55
2015-01-11;12.29;9.49;12.55
2015-01-12;12.29;9.49;12.55
2015-01-13;12.29;9.49;12.55
2015-01-14;12.19;9.39;12.45
2015-01-15;12.19;9.39;12.45
2015-01-16;12.29;9.39;12.55
2015-01-17;12.29;9.39;12.55
2015-01-18;12.29;9.39;12.55
2015-01-19;12.29;9.39;12.55
2015-01-20;12.29;9.39;12.55
2015-01-21;12.29;9.39;12.55
2015-01-22;12.29;9.39;12.55
2015-01-23;12.29;9.39;12.65
2015-01-24;12.29;9.39;12.65
2015-01-25;12.29;9.39;12.65
2015-01-26;12.39;9.39;12.65
2015-01-27;12.39;9.39;12.65
2015-01-28;12.39;9.39;12.65
2015-01-29;12.49;9.39;12.65
2015-01-30;12.49;9.39;12.65
2015-01-31;12.49;9.39;12.65
2015-02-01;12.49;9.39;12.65
2015-02-02;12.59;9.39;12.65
2015-02-03;12.79;9.39;12.85
2015-02-04;12.99;9.39;13.05
2015-02-05;12.99;9.39;13.05
2015-02-06;12.99;9.39;13.2
2015-02-07;12.99;9.39;13.2
2015-02-08;12.99;9.39;13.2
2015-02-09;12.99;9.39;13.3
2015-02-10;13.19;9.39;13.5
2015-02-11;13.19;9.39;13.5
2015-02-12;13.09;9.39;13.35
2015-02-13;13.19;9.49;13.45
2015-02-14;13.19;9.49;13.45
2015-02-15;13.19;9.49;13.45
2015-02-16;13.29;9.59;13.65
2015-02-17;13.29;9.59;13.65
2015-02-18;13.29;9.59;13.65
2015-02-19;13.29;9.59;13.65
2015-02-20;13.19;9.59;13.55
2015-02-21;13.19;9.59;13.55
2015-02-22;13.19;9.59;13.55
2015-02-23;13.44;9.74;13.75
2015-02-24;13.44;9.74;13.75
2015-02-25;13.44;9.74;13.75
2015-02-26;13.34;9.74;13.65
2015-02-27;13.34;9.74;13.65
2015-02-28;13.34;9.74;13.65
2015-03-01;13.34;9.74;13.65
2015-03-02;13.54;9.74;13.75
2015-03-03;13.54;9.74;13.65
2015-03-04;13.54;9.74;13.65
2015-03-05;13.44;9.74;13.5
2015-03-06;13.54;9.74;13.6
2015-03-07;13.54;9.74;13.6
2015-03-08;13.54;9.74;13.6
2015-03-09;13.54;9.74;13.6
2015-03-10;13.64;9.84;13.6
2015-03-11;13.54;9.84;13.5
2015-03-12;13.54;9.84;13.5
2015-03-13;13.54;9.84;13.4
2015-03-14;13.54;9.84;13.4
2015-03-15;13.54;9.84;13.4
2015-03-16;13.54;9.84;13.3
2015-03-17;13.44;9.84;13.2
2015-03-18;13.44;9.84;13.2
2015-03-19;13.64;10.09;13.3
2015-03-20;13.64;10.09;13.3
2015-03-21;13.64;10.09;13.3
2015-03-22;13.64;10.09;13.3
2015-03-23;13.79;10.24;13.4
2015-03-24;13.79;10.24;13.4
2015-03-25;13.79;10.24;13.3
2015-03-26;13.79;10.24;13.3
2015-03-27;13.89;10.24;13.4
2015-03-28;13.89;10.24;13.4
2015-03-29;13.89;10.24;13.4
2015-03-30;13.89;10.24;13.5
2015-03-31;13.79;10.24;13.35
2015-04-01;13.79;9.68;13.35
2015-04-02;13.79;9.68;13.35
2015-04-03;13.79;9.68;13.35
2015-04-04;13.79;9.68;13.35
2015-04-05;13.79;9.68;13.35
2015-04-06;13.79;9.68;13.35
2015-04-07;13.79;9.68;13.25
2015-04-08;13.79;9.88;13.35
2015-04-09;13.79;9.88;13.35
2015-04-10;13.79;9.88;13.35
2015-04-11;13.79;9.88;13.35
2015-04-12;13.79;9.88;13.35
2015-04-13;13.89;9.88;13.45
2015-04-14;13.89;9.88;13.55
2015-04-15;13.89;9.88;13.55
2015-04-16;14.09;10.08;13.7
2015-04-17;14.09;10.08;13.8
2015-04-18;14.09;10.08;13.8
2015-04-19;14.09;10.08;13.8
2015-04-20;14.19;10.28;13.8
2015-04-21;14.19;10.28;13.8
2015-04-22;14.19;10.28;13.8
2015-04-23;14.19;10.28;13.8
2015-04-24;14.39;10.38;13.95
